item_id,policy_id
1,259
2,161
3,21
4,78
5,190
6,23
7,84
8,296
9,92
10,235
11,17
12,52
13,141
14,139
15,45
16,289
17,193
18,84
19,194
20,195
21,243
22,111
23,104
24,269
25,24
26,189
27,222
28,162
29,37
30,196
31,179
32,99
33,158
34,102
35,151
36,88
37,115
38,82
39,272
40,16
41,276
42,149
43,45
44,39
45,144
46,62
47,122
48,39
49,145
50,155
51,180
52,114
53,30
54,287
55,74
56,158
57,78
58,255
59,274
60,212
61,112
62,97
63,17
64,39
65,176
66,102
67,225
68,153
69,241
70,110
71,141
72,59
73,261
74,75
75,255
76,184
77,178
78,30
79,275
80,180
81,292
82,48
83,174
84,299
85,273
86,69
87,160
88,155
89,298
90,250
91,91
92,85
93,238
94,82
95,186
96,71
97,92
98,213
99,70
100,141
101,290
102,224
103,89
104,214
105,35
106,132
107,63
108,251
109,286
110,255
111,294
112,149
113,295
114,134
115,6
116,30
117,193
118,247
119,28
120,88
121,235
122,117
123,69
124,225
125,14
126,276
127,126
128,170
129,187
130,28
131,81
132,187
133,80
134,110
135,235
136,130
137,163
138,192
139,11
140,3
141,191
142,112
143,42
144,64
145,2
146,187
147,104
148,78
149,134
150,10
151,31
152,257
153,55
154,227
155,113
156,116
157,183
158,46
159,55
160,121
161,137
162,222
163,177
164,120
165,194
166,11
167,192
168,165
169,31
170,130
171,93
172,79
173,157
174,150
175,250
176,249
177,115
178,172
179,236
180,179
181,106
182,145
183,243
184,96
185,258
186,232
187,46
188,272
189,204
190,120
191,300
192,236
193,290
194,92
195,104
196,54
197,220
198,234
199,264
200,216
201,95
202,297
203,276
204,228
205,82
206,59
207,254
208,189
209,230
210,179
211,219
212,245
213,251
214,176
215,285
216,97
217,172
218,39
219,59
220,250
221,210
222,29
223,246
224,79
225,34
226,71
227,13
228,172
229,185
230,240
231,174
232,37
233,224
234,214
235,15
236,138
237,37
238,41
239,122
240,106
241,165
242,88
243,278
244,224
245,216
246,174
247,41
248,64
249,228
250,182
251,142
252,270
253,107
254,13
255,290
256,16
257,63
258,175
259,185
260,219
261,242
262,217
263,153
264,1
265,246
266,275
267,25
268,192
269,17
270,144
271,287
272,169
273,281
274,257
275,46
276,19
277,67
278,124
279,281
280,197
281,184
282,249
283,188
284,79
285,276
286,105
287,108
288,227
289,91
290,247
291,262
292,245
293,205
294,265
295,228
296,259
297,232
298,23
299,282
300,99
301,57
302,179
303,203
304,231
305,30
306,216
307,85
308,299
309,193
310,58
311,64
312,146
313,51
314,21
315,167
316,102
317,233
318,76
319,205
320,53
321,296
322,266
323,192
324,69
325,16
326,167
327,288
328,241
329,135
330,251
331,69
332,248
333,74
334,248
335,33
336,261
337,152
338,63
339,280
340,216
341,58
342,85
343,68
344,158
345,252
346,92
347,48
348,257
349,154
350,269
351,287
352,248
353,171
354,44
355,151
356,151
357,56
358,192
359,185
360,71
361,180
362,246
363,229
364,206
365,13
366,179
367,18
368,196
369,73
370,154
371,107
372,114
373,137
374,126
375,145
376,83
377,136
378,96
379,153
380,236
381,268
382,149
383,288
384,266
385,200
386,46
387,213
388,28
389,208
390,29
391,124
392,190
393,294
394,141
395,289
396,46
397,123
398,121
399,68
400,289
401,202
402,206
403,193
404,283
405,148
406,252
407,6
408,194
409,105
410,88
411,68
412,84
413,80
414,229
415,190
416,42
417,115
418,97
419,279
420,112
421,21
422,34
423,180
424,75
425,58
426,130
427,184
428,178
429,153
430,178
431,89
432,59
433,297
434,182
435,19
436,97
437,201
438,237
439,10
440,194
441,42
442,239
443,243
444,268
445,62
446,255
447,199
448,271
449,262
450,252
451,275
452,197
453,272
454,88
455,154
456,85
457,246
458,248
459,122
460,7
461,299
462,72
463,192
464,255
465,283
466,111
467,160
468,300
469,5
470,180
471,66
472,124
473,99
474,246
475,171
476,4
477,239
478,89
479,147
480,39
481,235
482,165
483,289
484,121
485,244
486,290
487,133
488,45
489,18
490,197
491,184
492,279
493,112
494,190
495,194
496,187
497,223
498,135
499,243
500,225
